ARPJun 5, 2025 3:54:38 PM
DEV	  Src MAC		Dest MAC		Source IP	Dest IP		Type	Vlan	Proto	D-Port	State  Idle sec  RL-Class  RL-Kbps  DSCP
----------------------------------------------------------------------------------------------------------------------------------------------------------------
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55281	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	52517	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55280	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	56900	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-e8-8a-15	104.154.127.247	192.168.1.128  	0x0800	0001	TCP	43428	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55261	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54906	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54899	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	136.226.220.10 	192.168.1.172  	0x0800	0001	TCP	50072	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-21-80-89	74.125.137.188 	192.168.1.135  	0x0800	0001	TCP	48000	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-21-80-89	142.250.69.10  	192.168.1.135  	0x0800	0001	TCP	52356	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54485	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55260	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55266	  RUN       2       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54982	  RUN       3       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	50573	  RUN       3       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	165.225.34.128 	192.168.1.172  	0x0800	0001	TCP	50070	  RUN       3       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55259	  RUN       3       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.73 	192.168.1.172  	0x0800	0001	TCP	50071	  RUN       4       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54603	  RUN       4       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-e8-8a-15	142.251.40.33  	192.168.1.128  	0x0800	0001	TCP	60000	  RUN       4       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-e8-8a-15	142.251.40.33  	192.168.1.128  	0x0800	0001	TCP	60002	  RUN       4       0	         0    - 
